greertonWeekdaySchoolHolidayFalse,greertonWeekendSchoolHolidayFalse,greertonWeekdaySchoolHolidayTrue,greertonWeekendSchoolHolidayTrue,papamoaWeekdaySchoolHolidayFalse,papamoaWeekendSchoolHolidayFalse,papamoaWeekdaySchoolHolidayTrue,papamoaWeekendSchoolHolidayTrue,malemeWeekdaySchoolHolidayFalse,malemeWeekendSchoolHolidayFalse,malemeWeekdaySchoolHolidayTrue,malemeWeekendSchoolHolidayTrue,standbyWeekdaySchoolHolidayFalse,standbyWeekendSchoolHolidayFalse,standbyWeekdaySchoolHolidayTrue,standbyWeekendSchoolHolidayTrue
OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
T26301T,T26701,T26301H,T26701,T28301T,T28701,T28301H,T28701,T27301T,,,,SS01,SS01,SS01,SS01
T26302T,T26702,T26302H,T26702,T28302T,T28703,T28302H,T28703,T27303T,,,,SS02,SS02,SS02,SS02
T26303T,T26703,T26303H,T26703,T28303T,T28705,T28303H,T28705,T27305T,,,,SS03,SS03,SS03,SS03
T26304T,T26705,T26304H,T26705,T28304T,T28707,T28304H,T28707,T27307T,,,,SS04,SS04,SS04,SS04
T26305T,T26707,T26305H,T26707,T28305T,T28801,T28305H,T28801,T27309T,,,,SS05,SS05,SS05,SS05
T26306T,T26709,T26306H,T26709,T28307T,T28802,T28306H,T28802,T27311T,,,,SS06,SS06,SS06,SS06
T26307T,T26711,T26307H,T26711,T28309T,T28803,T28307H,T28803,T27313T,,,,SS07,SS07,SS07,SS07
T26308T,T26713,T26308H,T26713,T28311T,T28804,T28309H,T28804,T27315T,,,,SS08,SS08,SS08,SS08
T26309T,T26715,T26309H,T26715,T28313T,T28805,T28311H,T28805,T27317T,,,,SS09,SS09,SS09,SS09
T26310T,T26717,T26310H,T26717,T28315T,T28806,T28313H,T28806,T27319T,,,,SS10,SS10,SS10,SS10
T26311T,T26719,T26311H,T26719,T28317T,T28807,T28315H,T28807,T27321T,,,,SS11,SS11,SS11,SS11
T26312T,T26721,T26312H,T26721,T28319T,,T28501H,,T27323T,,,,SS12,SS12,SS12,SS12
